account_id,risk_level,risk_score,total_transactions,total_amount,max_transactions,unique_receivers
30858150,High,80,145,1270517.42,416703.7,16
31650294,Severe,120,524,4522945.98,569507.89,45
32788650,High,90,345,2322621.4,123691.65,32
33382572,Severe,120,596,4489923.4,632561.46,53
34009222,High,80,196,2031340.37,339209.99,22
34725151,High,90,432,3037068.54,185701.06,43
35328673,Severe,120,307,3192682.32,522308.69,31
35545289,Severe,120,447,3037656.33,488790.1,38
35710302,High,90,407,3465282.91,205284.44,35
35744338,Severe,120,576,4441784.26,420083.21,50
35950061,Severe,120,541,3779096.97,303884.17,54
36791025,High,90,354,1267439.47722125,194047.77,34
38578336,Severe,120,369,3421693.97,843617.06,34
38988477,Severe,120,431,4162604.43,724817.67,43
39087386,High,80,282,1929314.95,270988.45,34
39126008,Severe,120,538,5114305.61,654219.88,50
39345393,High,90,642,5709859.49,116086.2,54
40439686,Severe,120,408,3132967.95,470134.65,42
40660973,Severe,120,341,1879489.31,335510.03,34
40976520,Severe,120,343,4206821.5,273473.2,35
41561418,High,90,390,3566922.75,103308.76,32
43969200,High,90,380,3623626.13,242949.13,35
45497270,Severe,120,557,4979616.97,812429.78,50
45683332,Severe,120,407,3545002.52,293465.58,40
45840740,Severe,120,555,4607665.12,571554.12,50
45961652,High,80,288,1887915.69,494925.76,31
46894169,High,90,622,4631394.54,190719.34,53
47426338,High,90,330,1857060.23103961,158700.63,29
49679487,High,80,14,403112.89,333462.14,5
50449180,Severe,120,302,2292456.64,317474.87,31
51568374,Severe,120,311,3600403.3,336436.45,35
51578898,Severe,120,459,3601154.61,563231.56,37
52213607,High,90,499,3360907.31,158449.5,43
52431743,High,90,329,2464736.49,246394.91,32
53014040,High,90,446,4118465.17,243432.26,41
53400238,High,80,115,1657376.83,701376.7,15
54198134,High,90,322,3880247.2,216043.11,32
54596537,High,90,470,3788037.31,205261.3,42
55157893,Severe,120,351,1640943.96,324251.26,30
55530461,High,80,14,670474.95,621786.06,3
58682456,High,90,343,3106415.02,177570.36,31
59113258,Severe,120,303,2379215.96,595931.01,31
59180432,High,90,539,4599853.99,136491.5,48
59951361,Severe,120,339,2346663.74,280233.07,32
60129452,Severe,120,324,3031367.9,279433.55,33
60270891,Severe,120,311,3093377.79,312300.33,29
60554641,Severe,120,430,3487893.46,321132.84,38
61038622,Severe,120,579,4386296.35,943860.72,48
62101556,High,80,215,828145.61,443846.36,16
62642730,High,80,17,640997.41,527600.36,4
63222128,High,90,582,2915706.02,193052.8,55
63434501,Severe,120,506,3961041.7,464195.36,49
64040028,Severe,120,401,3640107.18,516212.13,43
65377125,Severe,120,504,4121668.47,879144.26,45
66354161,High,80,27,818085.55,667722.73,4
67201501,Severe,120,393,4544831.66,375517.25,38
67242300,High,80,15,491929.44,468241.41,4
67303324,Severe,120,442,3196585.31,361132.41,39
67817483,Severe,120,404,3637087.48,313766.02,38
68620650,High,90,465,2583961.91,191943.86,40
68848135,Severe,120,368,4569839.89,789739.15,35
68853622,Severe,120,538,3730603.37,284891.43,44
69234849,Severe,120,424,3371176.59,986976.82,35
69740648,High,80,265,2164314.87,646256.82,30
69958200,Severe,120,394,4960910.33,877774.76,45
70962274,High,80,161,2579308.74,710519.55,15
71826148,Severe,120,366,3594735.83,596610.99,33
72131053,Severe,120,425,3314328.31,626151.58,40
72633868,Severe,120,386,3338687.92,354629.21,36
73362524,Severe,120,448,2417174.03,407577.33,40
73390999,High,90,411,3627679.55,158573.43,43
73467975,High,90,504,4850320.7,231524.38,45
73806488,Severe,120,385,4043061.78,262970.39,34
73892638,High,90,366,1818884.41,145693.04,32
75847796,Severe,120,483,4033208.17,376933.42,51
76006539,High,90,507,3943217.59,236884.58,46
76029676,Severe,120,482,3685812.04,532150.12,45
76766713,High,90,307,1276539.01,168060.14,31
76967972,High,80,291,2386178.41,273670.07,26
77843140,High,80,148,1493473.32,300967.81,17
78559930,Severe,120,321,3829383.1,454763.56,32
78750373,High,80,209,2010002.65,912284.26,22
78869491,Severe,120,531,3717813.14,323161.11,45
79413220,Severe,120,336,1945275.93,445209.66,32
80585446,High,80,143,1498202.35,427715.4,18
81172057,Severe,120,454,4662006.23,438741.87,42
81841766,Severe,120,321,2800943.93,410775.53,33
83002694,Severe,120,499,3939632.29,333557.32,45
83270720,High,80,285,2056483.94,466886.04,31
83389389,Severe,120,374,4378278.91,912313.66,41
84643027,High,80,237,3235248.85,881277.95,21
85609283,Severe,120,424,4524986.28,911840.14,43
86251380,High,90,330,1736556.66,207886.93,30
86715269,High,80,187,1892240.13,558807.35,17
87275817,High,80,240,1518487.84,489358.04,21
87286239,Severe,120,441,4322537.77,451027.2,43
87331769,High,90,646,5018512.28,163764.11,54
87383008,High,90,307,2235914.92,212109.59,28
87684837,Severe,120,372,3238535.45,453972.58,33
87888750,High,90,346,3218571.89,155419.19,34
88332422,High,80,265,1529647.92,255876.6,25
90140955,Severe,120,418,3648031.46,631009.08,42
90387125,Severe,120,586,4525976.38,639810.05,51
90861892,High,80,22,427129.024446669,309142.39,4
91030184,Severe,120,526,3039112.29,540326.59,45
91694185,High,90,436,2810800.11,106667.76,38
91914997,High,80,249,1130526.77,379976.53,27
93445892,Severe,120,379,3414243.29,787771.84,40
93631445,Severe,120,380,4142049.53,396422.32,38
93900786,High,90,314,1490774.94,169405.4,30
94170387,Severe,120,459,4261979.7,753370.93,45
95326734,Severe,120,453,4584827.0,400399.35,44
95981156,High,80,146,1812242.1,306367.92,14
96337713,Severe,120,468,2992201.13,304361.76,44
97444284,Severe,120,347,2992933.86,560214.74,35
98142606,High,90,566,4201394.08,160178.48,54
98872531,Severe,120,441,4238533.79,488228.59,36
99147746,High,80,139,1602044.52,900441.21,19
100386724,High,80,281,3136810.06,827454.61,27
100459061,High,80,16,511552.66,506507.83,3
100684787,Severe,120,377,3064277.51,260705.95,35
102389632,High,80,177,1384358.91,633675.46,22
102599420,High,80,96,1295102.12371842,302885.25,11
102915055,Severe,120,431,2851768.1,832753.51,39
104076022,Severe,120,557,4202762.93,844987.77,46
104475600,High,80,124,1443130.78,566058.1,17
105185176,Severe,120,361,3059721.13,392907.61,53
105685875,High,80,160,1942957.4,506727.72,20
106036486,High,80,271,1795718.0726604,423884.49,30
106133007,High,90,598,3578674.71,141611.42,48
108321125,Severe,120,659,5058837.28,313064.65,59
108955451,High,80,8,1353554.87753914,915344.85,5
109487028,High,90,509,3679121.97,152972.19,45
110733670,Severe,120,322,2453586.47,437371.01,33
111485310,High,80,7,381911.61,252250.71,4
114506331,High,90,487,3770129.89,231638.9,47
114546805,Severe,120,423,4213764.73,459872.64,41
114798937,Severe,120,408,3172511.01,631859.33,36
116289163,Severe,120,376,3640953.04,599063.51,36
117632468,Severe,120,420,3923819.95,418093.93,41
117793432,Severe,120,551,5027740.87,900317.9,44
119224597,Severe,120,379,3527137.29,259416.54,36
119478027,Severe,120,386,2895389.11,336354.48,40
119761186,Severe,120,436,2826776.09,265225.07,42
119946716,High,90,407,3538739.72,189346.09,36
120902347,High,80,191,2401468.59,749625.31,18
121758982,High,90,310,1970113.25,161725.68,27
122087994,High,80,124,2058208.7,789605.8,13
122104497,High,80,219,2785354.08,519594.39,20
123876535,Severe,120,438,3219440.91,283160.53,42
124888170,Severe,120,575,4176115.36,556846.65,50
125547196,High,90,547,3732644.91,104304.58,51
125653693,High,80,266,2756800.97131146,387488.32,25
127297442,High,80,7,581205.76,266702.02,4
127345397,Severe,120,520,3337752.61,260803.43,44
128324485,High,90,477,4064165.25,115828.97,42
128458072,High,80,11,1115509.05,851415.09,3
130491831,High,80,212,2118827.74,562375.66,21
130653303,Severe,120,411,4724080.04,744295.43,38
131068477,High,80,81,1120354.13,385577.26,13
131408312,Severe,120,361,2320569.48,509153.53,32
133428015,High,90,424,2717060.33,133238.15,40
134489489,High,90,369,2803696.15,117764.64,32
135585210,High,90,363,2845280.72,117896.08,38
139031629,Severe,120,392,3152640.05,315852.12,37
139117391,High,80,295,3393973.42,471477.46,30
139169477,Severe,120,346,2234548.36,791408.62,34
140737631,Severe,120,404,3229504.48,251929.49,36
141081249,High,80,255,1901164.67,309100.05,25
141502969,Severe,120,376,4561488.54,802172.79,34
142007788,High,80,121,1806474.42,303485.13,12
143416548,High,80,252,3240472.55,654501.24,27
145785925,Severe,120,576,3333460.49,367199.5,48
147504035,Severe,120,400,3751323.08,263968.48,36
147590335,Severe,120,334,2473972.76,605213.95,32
149017192,High,80,211,1561631.49,722403.86,26
149300780,Severe,120,358,3359457.93,411601.15,31
149640976,High,80,141,1826533.29,750081.84,18
149919846,Severe,120,527,5469003.03,751226.71,51
149944640,High,80,20,1467414.04,720220.33,8
150248113,High,80,13,968514.09,833387.47,4
150912203,High,90,411,2483820.96,112418.45,37
151449254,Severe,120,533,3840491.3,257746.96,50
151456874,Severe,120,327,2577092.14,381707.68,35
152400563,High,90,344,1845843.34,107462.16,32
152861227,Severe,120,329,4511202.23,981482.17,32
153176780,Severe,120,414,3774589.05,346694.45,37
153539011,High,80,28,644760.297363639,601572.81,4
155209904,Severe,120,330,2422244.29,250034.01,30
155249953,High,90,545,4397231.13,202583.5,48
156152202,High,90,429,2423422.78,229003.06,42
156916274,High,90,399,2422921.1,131979.65,36
158790502,Severe,120,443,4252372.21,282398.42,42
158835231,Severe,120,367,4905064.62,820077.02,39
158969641,Severe,120,324,4398461.84,466972.04,33
161538790,Severe,120,444,3146924.59,482632.85,41
162737710,Severe,120,354,2750769.38,708187.08,28
163207024,High,80,90,756169.53,289254.67,11
166267886,High,80,16,742418.7,686622.32,4
166274508,High,80,294,2677151.0,841753.12,23
166608529,Severe,120,399,3526270.23,409460.71,40
167575998,Severe,120,647,4769041.36,255144.46,58
168950926,Severe,120,361,4027794.18,462483.37,33
169388348,High,90,306,3463971.8,241623.78,32
169795909,High,80,287,3575357.74,285252.64,31
172475898,High,90,494,2695392.03,164689.98,48
173306848,Severe,120,380,3294476.61,253176.43,37
175381310,Severe,120,337,3381612.84,799139.41,34
176426572,High,80,202,2341416.1,296560.49,18
177549689,High,80,226,1897766.29,903304.98,23
178319909,High,80,256,2533852.84,353319.19,31
178848119,Severe,120,601,5050486.33,448137.55,54
179114514,Severe,120,572,4921773.95,873092.47,53
179185026,High,90,355,1702302.23,183419.81,30
179292275,Severe,120,458,3374030.57,254472.23,39
179811011,High,80,27,557841.77,529587.75,5
180811306,High,80,183,2379213.03,518346.51,17
182676947,High,80,156,1392028.3,322348.39,19
185131343,Severe,120,355,3964342.88,713665.97,30
185307956,Severe,120,312,2914700.68,741551.88,29
186558248,Severe,120,439,3202236.32,406682.24,41
187116223,High,80,15,630110.72,496990.35,4
187699750,High,80,248,2892860.28,588700.33,25
187791985,Severe,120,479,3232932.52,602477.12,39
187969159,High,90,513,3435087.28,192815.89,51
188213428,High,80,16,522195.99,255939.41,5
188929394,High,90,348,1489204.31,156611.78,38
190471454,High,80,254,2110432.02,367865.07,26
190640520,Severe,120,388,3550708.6,333109.97,32
191564974,Severe,120,530,3805203.62,372485.27,47
191706339,High,80,16,329494.47,276611.56,3
192350554,High,80,286,3245237.31,741898.64,28
192699134,Severe,120,379,3089118.07,692160.01,38
193293371,Severe,120,404,2247612.2,407942.45,38
194027607,High,90,304,2361544.97,229435.16,27
194441494,Severe,120,339,2227647.22,291078.97,27
195308276,High,90,364,2854834.18,207819.22,33
196298823,High,90,401,3612449.01,119271.08,38
197051518,Severe,120,483,2734589.14,365117.57,44
197820125,High,80,230,3012877.49,411562.67,21
198100506,High,80,5,391957.72,339664.63,4
198932523,Severe,120,361,4199752.93,418926.05,31
199160246,Severe,120,520,4833149.13,338726.3,47
199331361,Severe,120,310,2561012.84,482050.0,32
200074099,High,80,4,616230.35,583256.8,2
200375079,Severe,120,374,5083613.65,498841.19,34
205417848,High,90,394,3512099.05,232229.9,40
205877386,High,90,437,4143538.51,128165.96,36
205905437,Severe,120,549,5034318.81,920212.84,45
206259119,Severe,120,490,4188736.45,262970.01,43
206508495,High,80,216,1833776.48,256544.06,22
207054308,High,80,263,2833363.42,1110803.7,24
207777281,High,80,209,2809012.22,293440.13,18
207936746,High,80,266,3276931.27,972607.27,32
208615118,High,90,337,1332859.79,105079.51,30
208627719,Severe,120,512,4140792.07,667312.57,44
209529926,Severe,120,518,3630356.48,275019.63,44
209742673,High,80,102,1336328.18,334577.73,10
210292371,High,90,347,2844303.98,107161.47,34
210790047,Severe,120,406,3873465.55,287166.74,43
211185058,High,80,23,500037.3,432294.54,4
212368086,Severe,120,605,4430793.73,404035.63,55
213411408,Severe,120,306,3302050.3,281384.65,32
214050487,High,80,151,2006326.29,576620.69,20
216498894,Severe,120,434,3665814.82,626075.46,45
216689451,Severe,120,428,3585821.87,322566.65,41
218429315,High,80,15,1069850.93,609248.25,5
218834596,High,80,213,1425697.83,521986.21,23
219059116,High,80,212,2425947.54,329486.26,19
221356071,Severe,120,576,4974597.45,456146.87,53
221702631,Severe,120,498,4811809.22,462868.02,42
221775922,High,80,225,885104.77,340622.47,20
223372159,High,80,242,3550338.51,820160.99,35
226339486,High,90,343,2811584.75,235344.6,29
226366961,Severe,120,624,4416854.6,457719.21,55
226568186,High,90,460,3582896.45,211386.38,40
226606102,Severe,120,461,4254091.17,816455.85,44
227566601,High,80,255,2138477.78,285139.88,26
228469850,High,90,334,2169232.29,217263.47,30
229007460,Severe,120,463,3228703.03,254266.75,42
234694022,Severe,120,411,4107681.0,910979.44,38
234737197,Severe,120,320,2725853.29,337049.99,31
235101754,Severe,120,550,4560462.51,279285.23,51
236666222,High,90,348,1781515.1,102414.39,32
236763209,Severe,120,625,4655598.6,492816.77,56
237125208,Severe,120,444,3883353.28,517952.45,39
237847364,High,80,149,2077469.86,668176.39,18
238055670,High,80,224,2531556.38,304683.76,24
238664836,High,90,441,3172505.22,163382.43,40
239118973,High,90,588,3782960.76,149608.15,51
239311065,High,80,274,2645981.56,626522.96,27
241823121,High,90,467,2989175.37,135154.97,40
243866823,High,80,280,2572529.4,458147.13,30
243890450,High,80,5,953138.89,891636.69,4
244342986,Severe,120,455,4286330.82,502451.05,44
244361682,Severe,120,354,3703299.38,333871.46,33
244549331,Severe,120,653,5008768.33,455248.92,53
244814744,Severe,120,327,3975355.75,925111.08,32
245972472,Severe,120,575,5623597.32,329848.39,51
248473309,Severe,120,581,5702754.65,371480.02,54
249333659,High,80,92,1066319.03,393131.1,11
249713175,High,80,22,353886.21,331615.61,3
250142155,High,80,193,1763787.5,794098.14,18
251879181,High,80,280,1816167.71,530096.79,31
252326549,Severe,120,521,4858248.78,946050.06,45
252364671,Severe,120,547,4153325.07,448809.43,47
253152083,Severe,120,483,4641591.23,914474.38,43
253989360,Severe,120,486,4954883.1,584151.4,45
254333209,High,80,185,1973287.21,297738.82,17
254391920,High,80,3,828194.14,598427.31,3
254565052,Severe,120,335,3315810.21,537086.9,34
255793155,High,80,84,1053544.45,501175.24,16
256368862,Severe,120,530,5047999.31,506595.04,48
257416613,High,90,368,2433980.33,163855.62,33
257741145,High,90,472,2728131.25,175787.16,44
258433971,High,80,20,1785546.07,1471704.37,5
259881316,High,90,379,2870914.57,157521.48,32
259958899,Severe,120,320,3226480.81,609802.46,33
260003179,High,80,6,622335.33,525085.15,3
260029339,High,80,264,3271696.56,498256.4,25
260255342,High,90,427,3275441.21,165552.47,36
260509013,Severe,120,348,3403136.46,737074.82,31
264604786,Severe,120,512,4166610.58,334412.58,47
264861441,High,80,275,1906058.39,270718.6,29
266325864,Severe,120,501,3654758.98,589159.51,47
267226420,Severe,120,592,4346623.78,282176.79,49
267264610,Severe,120,451,4080875.82,321772.49,44
267299481,Severe,120,564,4624116.4,666355.61,53
268339221,High,80,272,2650738.3,452321.0,26
268764613,High,80,138,1287435.09,303356.05,14
269199832,High,80,265,2944784.84,863716.11,27
269742837,High,90,355,901093.73,145093.27,33
269958820,High,90,403,2745295.71,112055.94,37
270412504,High,90,667,4130559.49,111296.27,55
270425671,High,90,501,2911769.95,174062.84,45
270818133,High,80,208,2533252.06,260684.12,23
271052879,Severe,120,407,3454118.64,730591.21,40
274250227,High,90,328,1892283.94,117649.04,30
276216032,High,90,429,2909499.82,151771.57,39
277357005,High,80,268,1811115.78,276812.47,25
277495512,Severe,120,587,5347075.17,420291.86,52
277917557,High,90,443,2815045.62,116562.66,39
279188028,High,80,253,3111886.39,384185.65,22
279528758,Severe,120,305,4036459.21,736699.24,30
279545522,High,80,14,3695975.92,3507884.1,5
280812284,High,80,201,1433989.03,733471.29,17
281610578,High,80,11,479899.82,384105.81,10
282139100,Severe,120,577,5067692.36,342730.58,53
282207282,High,80,7,473258.25,261919.33,5
283280424,High,90,495,3703944.5,141579.26,50
285227571,Severe,120,434,3257746.51,421549.92,38
285552105,High,80,6,1136353.78,996468.1,5
285688673,Severe,120,402,4279549.87,630569.26,37
286686191,High,80,279,1692159.88,272381.69,28
286943005,High,80,189,2232063.25,271650.41,20
287305149,High,80,221,2247056.76,851029.3,27
287475932,Severe,120,330,2504316.52,337287.56,31
288693763,High,80,87,1456099.48,567458.94,13
289394204,High,90,524,4747137.46,155039.48,50
289414878,High,90,404,3080894.7,193619.95,34
291086082,Severe,120,349,3806247.53,427984.82,32
292208812,High,80,188,1818088.99,344170.23,22
293457157,Severe,120,507,3654257.76,343990.89,49
293976694,Severe,120,386,3941310.38,295233.34,38
295483685,High,90,307,1728470.66,120314.43,37
296684736,High,80,282,2569499.31,478485.21,26
296807443,Severe,120,536,5100370.35,646142.74,49
296807548,Severe,120,302,1950463.37,432263.59,30
297188083,Severe,120,529,4688293.94,396054.74,48
297508985,High,80,22,651309.25,419846.43,4
297565041,Severe,120,487,3013196.04,375445.47,47
297721067,High,90,408,3505085.31,167533.75,34
298828426,Severe,120,303,2501772.8,442639.33,31
298920911,High,90,404,3635078.43,133440.6,41
299388548,Severe,120,561,3104600.28,282158.55,45
299782338,Severe,120,607,4391768.85,261177.68,53
300878717,Severe,120,323,3315919.06,470273.31,33
301609469,High,80,261,1967101.83,845931.91,27
302422301,Severe,120,439,4031027.77,500564.16,44
303957584,High,80,12,1172877.27797605,683564.81,4
304485579,High,90,525,3387823.39,117303.08,47
304952273,Severe,120,580,5523784.06,515277.47,50
305031187,High,90,420,3043448.79,182006.92,38
306955957,High,90,309,2183656.08,166249.17,28
307783976,High,80,16,495687.89,445336.24,5
308305419,Severe,120,321,2820740.06,460916.01,34
308652530,High,80,163,1268872.42,257452.32,17
309317415,High,90,312,3127254.9,246983.53,31
310099060,High,90,488,2379778.88,133493.88,43
311197492,High,80,184,1386064.9,277699.0,20
311224288,High,90,313,2383424.73,135762.92,28
312107430,Severe,120,640,4542092.76,272704.82,55
312690129,High,90,345,1992438.43,129232.8,35
312790550,Severe,120,340,1525984.56,314568.26,31
314085785,Severe,120,426,4281746.63,705074.76,35
315349889,High,90,427,2326323.64,199275.03,39
315926322,Severe,120,455,3604964.65,477573.85,38
316286575,Severe,120,346,3760952.15,659755.38,36
318946466,High,90,326,2836647.18,143837.71,30
320114284,High,90,480,2369572.83,169342.45,46
322164205,High,80,19,1342257.32,876318.6,6
322400695,High,80,87,1568864.12,258737.79,15
323461619,High,90,459,3076075.65,100732.04,38
324084421,Severe,120,472,3472631.35,362463.43,47
324101550,Severe,120,341,2123394.83,257590.29,31
324234020,Severe,120,484,3834001.41,601172.39,47
325114093,High,80,8,343405.72,294423.52,5
326484335,High,80,5,461516.72,344801.39,4
327970244,Severe,120,316,2551767.42,568933.01,31
328066146,Severe,120,303,3571818.43,452369.7,28
328302430,High,80,223,2769664.93,545832.16,19
328384744,High,90,598,3787376.76,111392.77,50
329494237,Severe,120,405,3449643.17,369701.13,38
329875920,High,80,234,2857364.87,661763.69,20
330544858,High,90,570,3447884.09,103308.62,50
331258622,High,80,258,2514606.78,419488.17,26
332178858,High,80,291,3220709.44,623316.59,32
334286078,High,80,160,1337115.73753775,959274.74,17
335647739,Severe,120,394,2954592.28,856545.7,37
336186837,High,80,300,2293184.87,294171.37,30
336299333,High,80,239,3082971.03,280423.35,25
337190711,Severe,120,434,3626693.25,710662.14,35
337343336,High,90,582,3557969.8,237764.97,52
337586069,Severe,120,475,5568888.77,734437.72,47
339071784,High,80,279,2156003.72,431158.15,30
339957925,High,90,532,3949393.04,222429.83,50
339995494,Severe,120,474,3264776.0,509205.46,46
340160930,High,80,200,2881511.46,510568.88,24
340587706,High,80,12,381243.23,310845.52,4
341022135,Severe,120,357,1770428.73,284501.54,36
341489218,High,90,473,3541309.37,181811.22,45
341551524,High,80,184,2484861.29,572309.54,22
342909287,High,90,565,4046904.89,164799.33,49
344243232,Severe,120,561,4680050.42,500712.97,50
344358986,High,80,256,2206567.48,616027.05,25
345409480,High,90,526,4486637.7,117611.32,47
346161051,High,90,614,5539327.82,237706.62,56
346763568,Severe,120,394,3313421.74,417655.59,38
346821414,Severe,120,358,3052965.66,447692.72,34
346840529,Severe,120,445,3797806.98,424188.17,39
347957698,Severe,120,398,4903612.18,977190.07,37
348026658,Severe,120,339,1740947.41,262891.9,35
348203318,High,80,257,1681948.31,387288.89,25
348765058,High,80,141,1500900.94,568171.48,21
348919156,Severe,120,304,3364127.9,338691.08,31
350856796,Severe,120,494,5199037.36,509719.63,46
351681005,High,90,360,3102548.45,126774.9,33
351870805,Severe,120,528,4029281.36,951116.49,44
353629420,High,80,135,1127602.21,255831.86,21
353944921,High,80,175,794461.53,284152.68,20
354296803,Severe,120,427,4220629.89,692496.67,40
354371386,Severe,120,356,2849396.16,910718.04,36
355588972,Severe,120,331,1885170.96,254092.93,34
356557398,High,80,243,2086484.26,474970.68,25
356986817,High,90,315,1470866.32,146681.52,29
357220480,Severe,120,493,3863736.84,489687.3,47
357989553,High,80,253,2891403.79,588890.8,27
358191542,High,80,218,2159361.59,527102.26,23
362331861,Severe,120,525,4077295.13,296883.95,49
362409948,Severe,120,440,4162018.85,771729.78,38
363200279,Severe,120,508,5122501.7,999202.31,45
363478209,Severe,120,348,3856709.01,809779.18,34
363703797,High,90,604,4313993.19,212845.47,50
364240468,High,90,323,2531643.44,196517.46,34
364260284,Severe,120,307,2506056.86,332591.42,32
364980826,High,80,25,982878.14,926078.54,5
365033017,High,90,336,2796076.8,238403.09,32
365076734,Severe,120,475,5100443.84,361384.95,44
365630545,High,80,118,1830186.29,645922.86,11
366504489,Severe,120,546,4651128.1,555313.87,48
366611323,Severe,120,354,2625532.3,432046.53,33
366733440,High,80,148,2070787.19,411946.32,22
366794694,Severe,120,545,5183448.26,357596.86,50
368066544,High,80,271,4069777.41,898556.53,28
369937621,Severe,120,424,4167583.86,357141.44,40
370175550,High,90,516,3503421.84,129026.01,47
371372286,High,80,13,588761.06,381448.0,5
371458209,High,80,148,2234817.69,501239.65,19
371655141,High,90,441,2971909.26,137986.16,37
373366047,High,80,271,2435964.12,593545.1,26
373961304,Severe,120,491,3914095.22,693174.8,44
374169181,Severe,120,339,3252134.16,957653.71,34
374216815,Severe,120,418,4774389.04,394781.18,40
374420543,Severe,120,338,2296436.97,339695.36,31
374656574,High,90,517,3384703.3,227447.62,50
374685641,High,90,407,2323757.33,115545.71,35
375162169,Severe,120,366,2123212.84,290237.12,36
375465070,High,80,16,790453.98,598711.09,3
376724495,Severe,120,399,2546234.78,322817.98,38
377133219,High,90,674,4333943.98,163437.06,55
377877502,Severe,120,518,5022822.04,572110.16,47
381726248,High,80,210,2302464.85,358280.48,19
381753298,High,90,593,4130912.28,181103.5,52
382301928,High,90,554,3876589.12,196881.03,50
382790637,Severe,120,423,3966056.25,340750.61,41
382875742,Severe,120,562,4092469.09,738407.9,49
383280835,High,80,97,1334191.16,278627.8,11
383489048,Severe,120,455,3620897.07,387747.81,44
384286285,Severe,120,502,3917579.33,309521.44,49
384491305,Severe,120,605,5120222.66,587580.4,55
384521614,Severe,120,510,4808969.18,525744.78,42
386852734,Severe,120,422,3916533.41,354471.92,39
388147000,High,80,6,416231.75,300282.72,4
388535508,High,90,398,1964341.91,197707.62,35
389024076,High,80,209,1764338.62,964293.6,24
390418862,High,80,278,2574326.21,913965.93,26
390424111,High,80,10,644353.25,562078.24,4
391301170,High,80,262,2812976.51,759709.07,33
391606250,Severe,120,428,3341587.9,516993.76,36
392020773,Severe,120,405,2569892.15,647650.29,38
392205712,Severe,120,404,3930237.81,365204.02,43
392547744,Severe,120,540,3577360.25,264583.08,47
393856092,Severe,120,405,3347552.35,338287.19,34
394195171,High,80,16,1018426.45,900919.85,5
394946820,High,80,12,611972.51,566169.82,3
395350325,Severe,120,491,4931082.71,508066.85,42
395484255,High,80,277,2595892.53,526197.99,26
397051505,Severe,120,434,4871162.06,878064.12,40
397703094,Severe,120,340,1603524.45,387677.24,30
397796760,High,90,477,3361482.84,238877.97,39
398983917,Severe,120,404,4138214.09,632789.82,36
399099113,High,80,240,2760846.96,829693.62,28
400133392,High,80,279,3201788.29,387003.98,30
400579639,High,90,508,3680111.2,102971.35,50
401330285,High,80,218,3170792.97,544805.86,20
402062093,High,90,461,3477831.01,136894.29,46
403198469,Severe,120,369,3287553.76,559340.24,34
403558721,High,90,376,3474975.79,179053.56,34
404477147,Severe,120,319,3057529.01,590453.85,27
405520466,Severe,120,478,3640983.4,384437.05,43
406694508,Severe,120,310,2919993.81,892867.67,29
406843538,High,80,18,378207.92,333200.96,4
406968209,Severe,120,369,4478177.06,999962.19,34
407290317,Severe,120,643,4534061.31,443851.21,51
409707192,Severe,120,361,3815645.95,387754.7,36
410721659,Severe,120,462,4544231.12,887509.02,38
410914447,Severe,120,410,3027805.44,371544.72,36
